City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Isangel,VU,-19.55,169.2667,78.22,89,100,8.63,heavy intensity rain
340,Bichura,RU,50.5881,107.6022,-3.03,97,67,4.03,broken clouds
341,Corn Island,NI,12.1694,-83.0418,81.21,66,78,15.03,broken clouds
342,Akyab,MM,20.15,92.9,70.56,66,0,1.19,clear sky
343,Crawfordsville,US,40.0411,-86.8745,19.31,100,0,0.0,clear sky
344,Tchaourou,BJ,8.8865,2.5975,95.14,10,4,4.38,clear sky
345,Iskateley,RU,67.6803,53.1512,-2.99,99,93,5.14,overcast clouds
346,Pundaguitan,PH,6.3711,126.1689,78.37,76,100,13.0,overcast clouds
347,Helsingborg,SE,56.0467,12.6944,43.95,95,100,18.9,light rain
348,Chuy,UY,-33.6971,-53.4616,80.24,70,38,6.24,scattered clouds
349,Leningradskiy,RU,69.3833,178.4167,-16.94,88,3,6.38,clear sky
350,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,100,9.22,light rain
351,Gibara,CU,21.1097,-76.1317,79.92,58,33,17.4,scattered clouds
352,Jasper,US,37.2001,-94.3502,20.26,66,0,1.01,clear sky
353,Pringsewu,ID,-5.3582,104.9744,75.16,94,99,1.97,overcast clouds
354,Umm Kaddadah,SD,13.6017,26.6876,73.76,13,8,18.57,clear sky
355,Komsomolskiy,UZ,40.4272,71.7189,40.42,60,0,6.91,clear sky
356,Cap Malheureux,MU,-19.9842,57.6142,80.47,80,100,8.99,overcast clouds
357,General Roca,AR,-39.0333,-67.5833,79.63,34,59,9.24,broken clouds
358,Deputatskiy,RU,69.3,139.9,-28.26,100,88,2.8,overcast clouds
359,San Antonio,US,29.4241,-98.4936,30.36,74,100,5.01,overcast clouds
360,Muros,ES,42.7762,-9.0603,58.68,75,99,7.83,overcast clouds
361,Partizanskoye,RU,55.5006,94.39,5.29,92,100,5.37,overcast clouds
362,Bridlington,GB,54.0831,-0.1919,44.78,67,59,24.81,broken clouds
363,Abha,SA,18.2164,42.5053,64.22,72,40,11.5,scattered clouds
364,Half Moon Bay,US,37.4636,-122.4286,50.61,86,0,0.0,clear sky
365,Carutapera,BR,-1.195,-46.02,81.86,78,100,6.96,overcast clouds
366,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,21.85,few clouds
367,Gidole,ET,5.65,37.3667,68.99,36,100,2.28,overcast clouds
368,Sao Filipe,CV,14.8961,-24.4956,74.98,67,0,9.01,clear sky
369,Tatawin,TN,32.9297,10.4518,68.88,25,29,16.62,scattered clouds
370,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,85.64,73,83,1.97,broken clouds
371,Vao,NC,-22.6667,167.4833,80.04,85,98,14.92,overcast clouds
372,Vilyuysk,RU,63.7553,121.6247,-31.79,100,83,2.73,broken clouds
373,Batangafo,CF,7.3008,18.2833,95.65,9,14,6.15,few clouds
374,Chulman,RU,56.8479,124.9104,-6.72,96,100,7.72,overcast clouds
375,Ahipara,NZ,-35.1667,173.1667,71.22,87,96,14.65,overcast clouds
376,Sechura,PE,-5.5569,-80.8222,79.25,57,45,5.86,scattered clouds
377,Jacareacanga,BR,-6.2222,-57.7528,88.48,56,95,5.88,overcast clouds
378,Miranda,CO,3.2499,-76.2281,73.53,69,61,4.72,broken clouds
379,Sagu,RO,46.05,21.2833,42.64,61,0,10.36,clear sky
380,Rio Gallegos,AR,-51.6226,-69.2181,50.05,43,40,10.36,scattered clouds
381,Adre,TD,13.4667,22.2,76.32,14,0,14.56,clear sky
382,Vestmannaeyjar,IS,63.4427,-20.2734,29.39,80,20,16.11,few clouds
383,Bella Vista,US,36.4295,-94.2316,21.88,78,20,1.01,few clouds
384,Ambanja,MG,-13.6833,48.45,78.73,92,100,6.31,light rain
385,Lulea,SE,65.5842,22.1547,23.07,93,100,26.46,light snow
386,Araouane,ML,18.9048,-3.5265,82.06,7,0,9.22,clear sky
387,Richards Bay,ZA,-28.783,32.0377,73.38,94,100,15.73,moderate rain
388,Piacabucu,BR,-10.4056,-36.4344,86.65,57,13,14.12,few clouds
389,Kidal,ML,18.4411,1.4078,77.63,8,0,14.2,clear sky
390,Hermiston,US,45.8404,-119.2895,45.1,86,0,8.05,clear sky
391,Imbituba,BR,-28.24,-48.6703,82.81,71,96,15.12,light rain
392,Mogadishu,SO,2.0371,45.3438,78.21,83,13,18.54,few clouds
393,Pajan,EC,-1.5667,-80.4167,76.35,82,100,1.83,overcast clouds
394,Chandler,US,33.3062,-111.8412,50.2,24,0,1.01,clear sky
395,Pak Thong Chai,TH,14.7226,102.0251,81.14,62,13,3.38,few clouds
396,Poso,ID,-1.3959,120.7524,77.23,81,100,3.67,light rain
397,Kampot,KH,10.6167,104.1833,82.45,78,58,3.96,broken clouds
398,Digby,CA,44.6169,-65.7655,33.31,96,100,20.15,snow
399,Kyra,RU,49.5776,111.9753,-0.99,90,39,7.02,scattered clouds
400,Bardiyah,LY,31.7561,25.0865,54.75,58,69,20.27,broken clouds
401,Bassano,CA,50.7834,-112.4685,4.59,97,95,5.53,overcast clouds
402,Filadelfia,US,39.9523,-75.1638,47.05,94,100,1.01,moderate rain
403,Along,IN,28.1667,94.7667,54.19,89,100,3.44,light rain
404,Radebeul,DE,51.1065,13.6605,46.92,71,40,14.97,scattered clouds
405,Trinidad,BO,-14.8333,-64.9,85.98,74,40,16.11,scattered clouds
406,Arkhipo-Osipovka,RU,44.37,38.52,35.29,82,99,10.63,overcast clouds
407,Boddam,GB,57.4667,-1.7833,37.38,68,80,25.34,broken clouds
408,Yangambi,CD,0.8102,24.4336,83.1,48,100,1.86,overcast clouds
409,Amapa,BR,1.0,-52.0,80.28,81,98,3.47,overcast clouds
410,Uruzgan,AF,32.8333,66.0,36.45,40,43,6.46,scattered clouds
411,Kilindoni,TZ,-7.9139,39.6668,81.7,78,100,14.72,overcast clouds
412,Palauig,PH,15.435,119.9045,77.79,75,59,4.32,broken clouds
413,Puerto Escondido,MX,15.85,-97.0667,81.37,56,0,4.88,clear sky
414,Takoradi,GH,4.8845,-1.7554,85.01,62,16,11.54,few clouds
415,Saint George,US,37.1041,-113.5841,34.36,47,0,3.0,clear sky
416,Baherden,TM,38.4362,57.4316,58.24,27,9,6.6,clear sky
417,Manyana,BW,-23.4,21.7167,83.59,41,69,8.57,broken clouds
418,Umea,SE,63.8284,20.2597,33.73,100,100,25.32,snow
419,Ugoofaaru,MV,5.6667,73.0,81.64,70,63,9.89,broken clouds
420,Darhan,MN,49.4867,105.9228,-7.55,96,62,4.97,broken clouds
421,Benxi,CN,41.2886,123.765,1.72,82,3,2.44,clear sky
